Order_ID,Priority_Level,Assigned_Vehicle,Status,Escalated
libi732501950,High,van,Delivered,Yes
kdbu035077095,High,van,Delivered,Yes
mfol662804540,High,van,Delivered,Yes
bdgu970232668,High,van,Delivered,Yes
odlo529484325,High,van,Delivered,Yes
vxvr447893698,High,van,Delivered,Yes
fmhd254099683,High,van,Delivered,Yes
evzr452255970,High,van,Delivered,Yes
hdgi344002220,High,van,Delivered,Yes
ypdy132507323,High,van,Delivered,Yes
vpun175942482,High,van,Delivered,Yes
cdkz589624699,High,van,Delivered,Yes
kiyg810534481,High,van,Delivered,Yes
pwbi898606991,High,van,Delivered,Yes
taqg748867597,High,van,Delivered,Yes
dkgi875489081,High,van,Delivered,Yes
ubag651976139,High,van,Delivered,Yes
zxtz236128998,High,van,Delivered,Yes
hmju318251956,High,van,Delivered,Yes
ltwr528697521,High,van,Delivered,Yes
jsku204560077,High,van,Delivered,Yes
istj070213071,High,van,Delivered,Yes
dahw022547497,High,van,Delivered,Yes
vvgj958702360,High,van,Delivered,Yes
rabu202619192,High,van,Delivered,Yes
aeuj226729421,High,van,Delivered,Yes
rbiv368919286,High,van,Delivered,Yes
kxfb230420855,High,van,Delivered,Yes
hwmm104541576,High,van,Delivered,Yes
qnwk753395424,High,van,Delivered,Yes
vvqg343205052,High,van,Delivered,Yes
iuxj806937978,High,van,Delivered,Yes
yyny933118563,High,van,Delivered,Yes
bwhs416644198,High,van,Delivered,Yes
rfxd157515921,High,van,Delivered,Yes
pgjt711137922,High,van,Delivered,Yes
fxir538138707,High,van,Delivered,Yes
kezq280741564,High,van,Delivered,Yes
dqha770938362,High,van,Delivered,Yes
biau131098726,High,van,Delivered,Yes
zkun393659280,High,van,Delivered,Yes
lxwa140818117,High,van,Delivered,Yes
uyid942578627,High,van,Delivered,Yes
scqu849553683,High,van,Delivered,Yes
mctx146223837,High,van,Delivered,Yes
cyko979976221,High,van,Delivered,Yes
uesw387337499,High,van,Delivered,Yes
wowz415217997,High,van,Delivered,Yes
uxsb403561931,High,van,Delivered,No
cyye995820696,High,van,Delivered,Yes
jbts229431770,High,van,Delivered,Yes
iqbd216667101,High,van,Delivered,Yes
bszz787750715,High,van,Delivered,Yes
eynm000731182,High,van,Delivered,No
cdmn013747827,High,van,Delivered,Yes
fxuz549696901,High,van,Delivered,Yes
jtpt648811611,High,van,Delivered,Yes
oxji736034406,High,van,Delivered,Yes
rihr033620085,High,van,Delivered,Yes
gczg917526696,High,van,Delivered,No
svpx912240732,High,van,Delivered,No
asgd164341326,High,van,Delivered,Yes
xqcr834027606,High,van,Delivered,Yes
dmrl564554163,High,van,Delivered,Yes
efrs776811164,High,van,Delivered,Yes
ljep947754095,High,van,Delivered,Yes
ljfy543933323,High,van,Delivered,Yes
fshk983313794,High,van,Delivered,Yes
wypw496102732,High,van,Delivered,No
ayns342721271,High,van,Delivered,Yes
thym058259757,High,van,Delivered,Yes
lgzn457957462,High,van,Delivered,Yes
qezt047211927,High,van,Delivered,Yes
gzdo509306528,High,van,Delivered,Yes
ersz046238543,High,van,Delivered,Yes
tgpw108094548,High,van,Delivered,Yes
inqt227293158,High,van,Delivered,Yes
mwyi621708115,High,van,Delivered,Yes
hzpx007931304,High,van,Delivered,Yes
gbab110045112,High,van,Delivered,Yes
hvpj165495397,High,van,Delivered,Yes
ceed295586354,High,van,Delivered,No
tonn051257985,High,van,Delivered,Yes
erap841821582,High,van,Delivered,Yes
iavt937545530,High,van,Delivered,Yes
trka856987401,High,van,Delivered,No
lcgk008504983,High,van,Delivered,Yes
zqro449286965,High,van,Delivered,Yes
syeh579470089,High,van,Delivered,Yes
zhab316861798,High,van,Delivered,Yes
qqjl805129936,High,van,Delivered,Yes
weco669309017,High,van,Delivered,Yes
zbel647135442,High,van,Delivered,Yes
emwe467794784,High,van,Delivered,Yes
xznm347660092,High,van,Delivered,Yes
nyfh224947388,High,van,Delivered,Yes
uvri048682496,High,van,Delivered,Yes
bbws342212288,High,van,Delivered,Yes
wsoh266827723,High,van,Delivered,No
leff787822709,High,van,Delivered,No
talu198958493,High,van,Delivered,Yes
anfx475383342,High,van,Delivered,Yes
eddt314765083,High,van,Delivered,Yes
pcyt916802893,High,van,Delivered,Yes
ungk686699285,High,van,Delivered,Yes
jgcy113446649,High,van,Delivered,Yes
ronf620294989,High,van,Delivered,Yes
hoxq128553542,High,van,Delivered,Yes
pmtg425435413,High,van,Delivered,No
qefg170628671,High,van,Delivered,Yes
bdlk287272047,High,van,Delivered,Yes
iqem237229463,High,van,Delivered,Yes
zazf712069296,High,van,Delivered,Yes
dpcr770207794,High,van,Delivered,Yes
glsd963477325,High,van,Delivered,Yes
zhhx122382345,High,van,Delivered,Yes
titu043025048,High,van,Delivered,Yes
gyxe336866683,High,van,Delivered,Yes
zlcm795242431,High,van,Delivered,Yes
zdvi265864937,High,van,Delivered,No
wduj099075306,High,van,Delivered,Yes
xhwj851689395,High,van,Delivered,Yes
opbb084664115,High,van,Delivered,Yes
nplz786278633,High,van,Delivered,Yes
vfml243571298,High,van,Delivered,Yes
evto530786855,High,van,Delivered,Yes
ckgu502252849,High,van,Delivered,Yes
tjxh038296843,High,van,Delivered,Yes
xhlz301038990,High,van,Delivered,Yes
zpnu794398600,High,van,Delivered,Yes
xiuy990187238,High,van,Delivered,Yes
mupr233190762,High,van,Delivered,Yes
pkqs694908430,High,van,Delivered,Yes
qibd572188244,High,van,Delivered,Yes
rwkg752700186,High,van,Delivered,Yes
xukr152686247,High,van,Delivered,Yes
pkts252955495,High,van,Delivered,Yes
kjef892715538,High,van,Delivered,Yes
pmpr684370621,High,van,Delivered,Yes
bpyt851249485,High,van,Delivered,Yes
fdjp742606171,High,van,Delivered,Yes
deff957321361,High,van,Delivered,Yes
vakz912181469,High,van,Delivered,Yes
lxlx275255455,High,van,Delivered,Yes
dowq522268038,High,van,Delivered,Yes
xdao434795901,High,van,Delivered,Yes
qzve473103395,High,van,Delivered,Yes
sgrh968289641,High,van,Delivered,Yes
jpet729617185,High,van,Delivered,Yes
tbbu562785662,High,van,Delivered,Yes
yhct639146328,High,van,Delivered,Yes
vpzi082179640,High,van,Delivered,Yes
wxqg297592780,High,van,Delivered,Yes
eein393878639,High,van,Delivered,Yes
qkiq165480717,High,van,Delivered,Yes
hqwk443892657,High,van,Delivered,Yes
xkxm865630486,High,van,Delivered,Yes
bvni933228891,High,van,Delivered,Yes
befv867092423,High,van,Delivered,Yes
hobf254746878,High,van,Delivered,Yes
lhfo186255622,High,van,Delivered,Yes
emki208355100,High,van,Delivered,Yes
eiug703797186,High,van,Delivered,Yes
gpgw045112006,High,van,Delivered,Yes
pajv540287866,High,van,Delivered,Yes
pfch546197063,High,van,Delivered,Yes
watp349944722,High,van,Delivered,Yes
ipvd026583007,High,van,Delivered,Yes
pexn467185751,High,van,Delivered,Yes
nmla539707523,High,van,Delivered,No
dbuw981669021,High,van,Delivered,Yes
dbyg819334603,High,van,Delivered,No
koew144021127,High,van,Delivered,Yes
qmjh777621315,High,van,Delivered,Yes
pszf462397050,High,van,Delivered,Yes
figc612141073,High,van,Delivered,Yes
gpwj834408989,High,van,Delivered,Yes
pwbf401580256,High,van,Delivered,Yes
vpzj106843126,High,van,Delivered,Yes
rpxi920665792,High,van,Delivered,Yes
vhkj347911892,High,van,Delivered,Yes
ilfo183800165,High,van,Delivered,Yes
blgx713939207,High,van,Delivered,Yes
wlra252926669,High,van,Delivered,Yes
vxra135801103,High,van,Delivered,Yes
fzng561300776,High,van,Delivered,Yes
sdij345774967,High,van,Delivered,Yes
ylyn963444268,High,van,Delivered,Yes
prwc675910621,High,van,Delivered,Yes
sqjm123634300,High,van,Delivered,Yes
bptj463968079,High,van,Delivered,Yes
njei617905873,High,van,Delivered,Yes
nltq801700453,High,van,Delivered,Yes
jttm849299889,High,van,Delivered,Yes
dmps249322564,High,van,Delivered,Yes
gego068198063,High,van,Delivered,Yes
fptn470372741,High,van,Delivered,Yes
gqbu367833799,High,van,Delivered,Yes
izaj168715864,High,van,Delivered,Yes
fnep523025583,High,van,Delivered,Yes
prmd574549289,High,van,Delivered,Yes
mrjm925736117,High,van,Delivered,Yes
bxmi331655934,High,van,Delivered,Yes
mhbw191834924,High,van,Delivered,Yes
zgus506380717,High,van,Delivered,Yes
qebb550457670,High,van,Delivered,Yes
nkwa401940966,High,van,Delivered,Yes
cywj467789158,High,van,Delivered,Yes
sjkg905066419,High,van,Delivered,Yes
xntp740548398,High,van,Delivered,Yes
pvcu885016852,High,van,Delivered,No
xzhm898208742,High,van,Delivered,Yes
uglc908112005,High,van,Delivered,Yes
ggni863426619,High,van,Delivered,Yes
bzru027859331,High,van,Delivered,Yes
abfq998863769,High,van,Delivered,Yes
wywl453950288,High,van,Delivered,Yes
dypb040671273,High,van,Delivered,No
vqlk306910270,High,van,Delivered,Yes
hvgr961766492,High,van,Delivered,Yes
lmam222460100,High,van,Delivered,Yes
ynfp918283334,High,van,Delivered,Yes
ntqf654847526,High,van,Delivered,Yes
wltg948769753,High,van,Delivered,Yes
wfnp526037482,High,van,Delivered,Yes
snnk405400637,High,van,Delivered,No
wpqb321718229,High,van,Delivered,Yes
sdoi829127570,High,van,Delivered,Yes
idya109511672,High,van,Delivered,Yes
ttrz409682533,High,van,Delivered,Yes
nfya937262694,High,van,Delivered,Yes
lmop404805897,High,van,Delivered,Yes
ybxm786583586,High,van,Delivered,Yes
enld417016844,High,van,Delivered,Yes
lmmw269814056,High,van,Delivered,Yes
iwhg780258471,High,van,Delivered,Yes
iwgk345795951,High,van,Delivered,No
tsgt870627135,High,van,Delivered,Yes
iceq731335361,High,van,Delivered,Yes
xiqr562543389,High,van,Delivered,Yes
ccvj862813862,High,van,Delivered,Yes
vavf041518880,High,van,Delivered,Yes
ojgk976611501,High,van,Delivered,Yes
gzhs999389838,High,van,Delivered,Yes
lpoo559278752,High,van,Delivered,No
ciiu227813992,High,van,Delivered,Yes
dmfn307541025,High,van,Delivered,Yes
whbe278371630,High,van,Delivered,Yes
ajon496915803,High,van,Delivered,No
fjwn048296205,High,van,Delivered,Yes
hibb670568838,High,van,Delivered,Yes
mpxz628633412,High,van,Delivered,Yes
rqqt145827294,High,van,Delivered,Yes
xrou628500081,High,van,Delivered,Yes
xnwm549054246,High,van,Delivered,Yes
tcjj860782373,High,van,Delivered,Yes
ceoa860679195,High,van,Delivered,Yes
ozff337964990,High,van,Delivered,Yes
hdrw273058143,High,van,Delivered,Yes
jjpc681328627,High,van,Delivered,Yes
wnja265203362,High,van,Delivered,Yes
kkkn806065019,High,van,Delivered,Yes
ahcl676711139,High,van,Delivered,Yes
fnmz024487519,High,van,Delivered,Yes
tsnh426803977,High,van,Delivered,Yes
jlvk970569104,High,van,Delivered,Yes
nkob102431367,High,van,Delivered,Yes
aitb076913492,High,van,Delivered,Yes
zzht454845366,High,van,Delivered,Yes
penp730595480,High,van,Delivered,Yes
tqqq117400105,High,van,Delivered,Yes
wrbr570700916,High,van,Delivered,Yes
wzvs619072447,High,van,Delivered,Yes
oini183602327,High,van,Delivered,Yes
elrp114539975,High,van,Delivered,Yes
fvoq332072223,High,van,Delivered,Yes
kemd906602818,High,van,Delivered,Yes
kqmi499374214,High,van,Delivered,Yes
qdqs225203666,High,van,Delivered,Yes
ztel491150706,High,van,Delivered,Yes
sfok287655638,High,van,Delivered,Yes
rbvw350017323,High,van,Delivered,Yes
evfg719847858,High,van,Delivered,Yes
kcdr224504524,High,van,Delivered,Yes
nuxp187566978,High,van,Delivered,Yes
ervj934596417,High,van,Delivered,Yes
kqnb541413741,High,van,Delivered,Yes
oric826953147,High,van,Delivered,Yes
urec609350393,High,van,Delivered,Yes
ovti492712870,High,van,Delivered,Yes
brfo817641389,High,van,Delivered,Yes
pbsp176319059,High,van,Delivered,Yes
kfjw636000221,High,van,Delivered,Yes
szso398384860,High,van,Delivered,Yes
pjbh964684827,High,van,Delivered,Yes
oaew463729559,High,van,Delivered,Yes
dhru296264034,High,van,Delivered,No
jrdt044319812,High,van,Delivered,Yes
aefs889604846,High,van,Delivered,Yes
aozl672518026,High,van,Delivered,Yes
fmmu732691037,High,van,Delivered,Yes
cmnr733682904,High,van,Delivered,Yes
velf920731059,High,van,Delivered,Yes
grsq278292648,High,van,Delivered,Yes
rqha328591539,High,van,Delivered,No
rhpv487359562,High,van,Delivered,No
aokn153705465,High,van,Delivered,Yes
tnxr721054246,High,van,Delivered,Yes
sxnc962329653,High,van,Delivered,Yes
hsbp920939915,High,van,Delivered,Yes
mbhl763139783,High,van,Delivered,Yes
dqml870257443,High,van,Delivered,Yes
oipo304682095,High,van,Delivered,No
npqc426335347,High,van,Delivered,Yes
kbcb187418479,High,van,Delivered,Yes
nvss305715416,High,van,Delivered,Yes
nfbo612860913,High,van,Delivered,Yes
bvje827756058,High,van,Delivered,Yes
tmra080782884,High,van,Delivered,Yes
gtmc763426867,High,van,Delivered,Yes
kjln790080169,High,van,Delivered,Yes
gqyt412008922,High,van,Delivered,Yes
hojh303673874,High,van,Delivered,Yes
uowo219202183,High,van,Delivered,Yes
laly052364040,High,van,Delivered,Yes
seue774035229,High,van,Delivered,Yes
hpfx282951824,High,van,Delivered,No
kwac459258247,High,van,Delivered,Yes
drnq455410643,High,van,Delivered,Yes
cpai239579459,High,van,Delivered,Yes
vjqj497482999,High,van,Delivered,Yes
ikqm848453901,High,van,Delivered,Yes
escq078763525,High,van,Delivered,Yes
llgk631278832,High,van,Delivered,No
qpgp954149325,High,van,Delivered,Yes
qhmc638167529,High,van,Delivered,Yes
qthn147451965,High,van,Delivered,Yes
sfpc015585430,High,van,Delivered,Yes
hllu627872258,High,van,Delivered,Yes
wrjr749227681,High,van,Delivered,No
xzrl716784548,High,van,Delivered,Yes
mmbt765343357,High,van,Delivered,Yes
zayq005312106,High,van,Delivered,Yes
icjn893090853,High,van,Delivered,No
jwef100439998,High,van,Delivered,Yes
iray690328025,High,van,Delivered,Yes
kdbz058571456,High,van,Delivered,Yes
qbnx455660626,High,van,Delivered,Yes
eibc335635387,High,van,Delivered,Yes
kxcm483694128,High,van,Delivered,Yes
lyqs160626048,High,van,Delivered,Yes
sqpt381009382,High,van,Delivered,Yes
kzec642267375,High,van,Delivered,Yes
fjsy457667101,High,van,Delivered,Yes
qcyn693653025,High,van,Delivered,Yes
zxza102160001,High,van,Delivered,Yes
xdus014073429,High,van,Delivered,Yes
kdoi450584961,High,van,Delivered,Yes
ikkh818371440,High,van,Delivered,Yes
nqfm352762141,High,van,Delivered,Yes
jhfa779664836,High,van,Delivered,Yes
xbxn200447293,High,van,Delivered,Yes
necv303251571,High,van,Delivered,Yes
wqea232651451,High,van,Delivered,Yes
zhbv507383833,High,van,Delivered,Yes
vlst254301121,High,van,Delivered,Yes
kklz242189792,High,van,Delivered,Yes
xcpn200806737,High,van,Delivered,No
dxuq411671723,High,van,Delivered,Yes
dlxs382799710,High,van,Delivered,Yes
ltpv954472394,High,van,Delivered,Yes
oitk739579230,High,van,Delivered,Yes
pazq694586181,High,van,Delivered,Yes
oisq612742703,High,van,Delivered,Yes
wzvu432262336,High,van,Delivered,Yes
wper150449859,High,van,Delivered,Yes
xzho220714716,High,van,Delivered,Yes
zrwp620728072,High,van,Delivered,Yes
gyxw898561903,High,van,Delivered,Yes
ecem060800309,High,van,Delivered,Yes
botn800344578,High,van,Delivered,Yes
tqxi045146775,High,van,Delivered,Yes
kgap585195507,High,van,Delivered,Yes
dmfj519519219,High,van,Delivered,Yes
tjib241378229,High,van,Delivered,Yes
cads491909704,High,van,Delivered,Yes
yoxg386579172,High,van,Delivered,Yes
jgze646200858,High,van,Delivered,No
ugdy034169362,High,van,Delivered,Yes
xzbl323280136,High,van,Delivered,Yes
lqyq813452304,High,van,Delivered,Yes
pchy611585669,High,van,Delivered,Yes
okgr359664734,High,van,Delivered,Yes
wzel129960984,High,van,Delivered,Yes
fhco827148157,High,van,Delivered,Yes
bcww473893145,High,van,Delivered,Yes
azgk940712115,High,van,Delivered,Yes
bzoo769001078,High,van,Delivered,Yes
ubcd783242087,High,van,Delivered,No
jiyc198145687,High,van,Delivered,Yes
kscw878662353,High,van,Delivered,No
kvqk488778566,High,van,Delivered,Yes
kpjr226562494,High,van,Delivered,Yes
igvi130716526,High,van,Delivered,Yes
fkun064220230,High,van,Delivered,Yes
lyyj446897623,High,van,Delivered,Yes
vdsc242802639,High,van,Delivered,Yes
ittj864611306,High,van,Delivered,Yes
jzzk349096295,High,van,Delivered,Yes
sdxs740704107,High,van,Delivered,Yes
mttu695236585,High,van,Delivered,Yes
ooki837835398,High,van,Delivered,Yes
yogd343858268,High,van,Delivered,Yes
gcvw047760888,High,van,Delivered,Yes
jrpn294896376,High,van,Delivered,Yes
urgh719421847,High,van,Delivered,Yes
xwtx438995455,High,van,Delivered,Yes
sccp018255873,High,van,Delivered,Yes
xxor408538921,High,van,Delivered,Yes
jrzw710510668,High,van,Delivered,No
eggk782414616,High,van,Delivered,Yes
hidy261467651,High,van,Delivered,Yes
jptb980554885,High,van,Delivered,Yes
vpsf780953121,High,van,Delivered,Yes
yzbx667733486,High,van,Delivered,Yes
hxog930219425,High,van,Delivered,Yes
jkkv014691736,High,van,Delivered,Yes
sfrj659517575,High,van,Delivered,Yes
onok376892035,High,van,Delivered,Yes
xnmd060157935,High,van,Delivered,Yes
mzeb245970250,High,van,Delivered,Yes
nuyk105990581,High,van,Delivered,Yes
qodg716991505,High,van,Delivered,Yes
cvog500284478,High,van,Delivered,Yes
jwdp033586938,High,van,Delivered,Yes
ggxk185781605,High,van,Delivered,Yes
jysr427028144,High,van,Delivered,No
apll985655975,High,van,Delivered,Yes
ybmg115603702,High,van,Delivered,Yes
hgvp189522861,High,van,Delivered,Yes
wjsm256325267,High,van,Delivered,Yes
mirt199087171,High,van,Delivered,No
wigz116241077,High,van,Delivered,Yes
djni578384701,High,van,Delivered,Yes
booz176813299,High,van,Delivered,Yes
yrxv783282166,High,van,Delivered,Yes
mjzv475761405,High,van,Delivered,Yes
vogj512177127,High,van,Delivered,Yes
vmcr655255820,High,van,Delivered,Yes
sbaj018996229,High,van,Delivered,Yes
mivz461407242,High,van,Delivered,Yes
rdus129341681,High,van,Delivered,Yes
fump208124017,High,van,Delivered,Yes
zzdt398224350,High,van,Delivered,Yes
rosu742347769,High,van,Delivered,No
mltg533186640,High,van,Delivered,Yes
griq568538346,High,van,Delivered,Yes
ulic859633079,High,van,Delivered,Yes
hikf286518789,High,van,Delivered,Yes
izvl399117454,High,van,Delivered,Yes
tbln574225506,High,van,Delivered,Yes
sgep605324393,High,van,Delivered,Yes
sgrv807655331,High,van,Delivered,Yes
ltuo081712610,High,van,Delivered,Yes
xbhq884931942,High,van,Delivered,Yes
nymu234606643,High,van,Delivered,Yes
qnht214154545,High,van,Delivered,Yes
itfi259801851,High,van,Delivered,Yes
vhkd487067380,High,van,Delivered,Yes
kbln393702128,High,van,Delivered,Yes
kjni870891929,High,van,Delivered,Yes
ognp232305886,High,van,Delivered,Yes
guht709314264,High,van,Delivered,Yes
vazf926651495,High,van,Delivered,Yes
gwsn039100496,High,van,Delivered,Yes
fvvr839976631,High,van,Delivered,Yes
hvcw149352257,High,van,Delivered,Yes
nsor575698541,High,van,Delivered,Yes
noiv975543322,High,van,Delivered,Yes
axtz155758687,High,van,Delivered,Yes
cqkf340722182,High,van,Delivered,Yes
uzno711040707,High,van,Delivered,Yes
yucd410527852,High,van,Delivered,Yes
hnhg555883986,High,van,Delivered,Yes
larg251421075,High,van,Delivered,Yes
mqhw773310802,High,van,Delivered,Yes
znys264264304,High,van,Delivered,Yes
jbvi392181477,High,van,Delivered,Yes
hamx365036358,High,van,Delivered,Yes
euea467890264,High,van,Delivered,Yes
fyhn937992389,High,van,Delivered,Yes
brjp572494933,High,van,Delivered,Yes
ywqt342960968,High,van,Delivered,Yes
oifg249484577,High,van,Delivered,Yes
amwt677706239,High,van,Delivered,Yes
bvka348874203,High,van,Delivered,Yes
xncp919063413,High,van,Delivered,Yes
dzja169620854,High,van,Delivered,Yes
mfkm295992455,High,van,Delivered,Yes
kljo727155219,High,van,Delivered,Yes
crwj681968834,High,van,Delivered,Yes
xigp305225329,High,van,Delivered,Yes
orkh922812379,High,van,Delivered,Yes
epws628648070,High,van,Delivered,Yes
vjso332723361,High,van,Delivered,Yes
bncl161561536,High,van,Delivered,Yes
phdn272715324,High,van,Delivered,Yes
sojs277662991,High,van,Delivered,Yes
plbh544658611,High,van,Delivered,Yes
dwpz461110458,High,van,Delivered,Yes
iegb214834761,High,van,Delivered,Yes
ocwa633756358,High,van,Delivered,Yes
xxku620056780,High,van,Delivered,Yes
vkzz832219130,High,van,Delivered,Yes
ohzf165095441,High,van,Delivered,Yes
wafx978606463,High,van,Delivered,Yes
mjny778475225,High,van,Delivered,Yes
lfkr680811422,High,van,Delivered,Yes
fakz515425358,High,van,Delivered,Yes
intd941914908,High,van,Delivered,Yes
mmnq033985559,High,van,Delivered,Yes
